base,target,flow,dim,flow_l1,target_l1,diff_l1
MA_2,MA_1,RealNVP,10,1.0,1.0,0.25
MA_2,MA_1,RealNVP,15,1.001,0.995,0.2
MA_2,MA_1,RealNVP,20,1.013,1.011,0.268
MA_2,MA_2,MAF,10,0.988,0.989,0.213
MA_2,MA_2,MAF,15,0.99,0.993,0.249
MA_2,MA_2,MAF,20,1.031,1.053,0.509
MA_2,MA_2,RealNVP,10,0.996,0.997,0.229
MA_2,MA_2,RealNVP,15,1.064,1.086,0.319
MA_2,MA_2,RealNVP,20,0.984,0.992,0.364
AR_1,AR_1,MAF,10,1.0,0.998,1.189
AR_1,AR_1,MAF,15,0.985,0.996,0.539
AR_1,AR_1,MAF,20,0.962,0.961,0.953
AR_1,AR_1,RealNVP,10,1.0,0.998,1.05
AR_1,AR_1,RealNVP,15,0.999,1.006,0.505
AR_1,AR_1,RealNVP,20,1.012,1.075,1.54
AR_1,AR_2,MAF,10,0.997,0.987,1.662
AR_1,AR_2,MAF,15,0.943,1.011,1.704
AR_1,AR_2,MAF,20,1.052,1.051,0.957
AR_1,AR_2,RealNVP,10,1.011,0.999,1.355
AR_1,AR_2,RealNVP,15,1.008,0.956,1.649
AR_1,AR_2,RealNVP,20,0.998,1.078,1.739
AR_1,MA_1,MAF,10,1.003,1.003,0.121
AR_1,MA_1,MAF,15,1.005,0.996,0.207
AR_1,MA_1,MAF,20,1.085,1.108,0.375
AR_1,MA_1,RealNVP,10,1.0,0.999,0.153
AR_1,MA_1,RealNVP,15,0.971,0.964,0.291
AR_1,MA_1,RealNVP,20,0.978,0.971,0.164
AR_1,MA_2,MAF,10,0.999,1.0,0.194
AR_1,MA_2,MAF,15,0.967,0.964,0.39
AR_1,MA_2,MAF,20,0.97,0.981,0.336
AR_1,MA_2,RealNVP,10,1.011,1.011,0.192
AR_1,MA_2,RealNVP,15,0.971,0.957,0.332
AR_1,MA_2,RealNVP,20,0.988,0.959,0.327
MA_1,AR_1,MAF,10,1.006,1.007,0.12
MA_1,AR_1,MAF,15,1.0,1.001,0.644
MA_1,AR_1,MAF,20,0.993,0.972,1.226
MA_1,AR_1,RealNVP,10,1.001,1.006,1.595
MA_1,AR_1,RealNVP,15,1.018,1.005,1.477
MA_1,AR_1,RealNVP,20,1.06,0.957,1.603
MA_1,AR_2,MAF,10,0.996,0.999,0.927
MA_1,AR_2,MAF,15,1.009,0.985,1.746
MA_1,AR_2,MAF,20,1.089,1.034,2.042
MA_1,AR_2,RealNVP,10,0.996,0.992,1.362
MA_1,AR_2,RealNVP,15,0.847,1.008,1.652
MA_1,AR_2,RealNVP,20,0.893,0.863,1.67
MA_1,MA_1,MAF,10,1.008,1.008,0.132
MA_1,MA_1,MAF,15,1.025,1.015,0.334
MA_1,MA_1,MAF,20,0.996,1.008,0.488
MA_1,MA_1,RealNVP,10,0.998,0.999,0.16
MA_1,MA_1,RealNVP,15,0.991,0.994,0.134
MA_1,MA_1,RealNVP,20,1.06,1.025,0.252
MA_1,MA_2,MAF,10,1.001,1.002,0.156
MA_1,MA_2,MAF,15,0.98,0.972,0.286
MA_1,MA_2,MAF,20,0.902,0.897,0.446
MA_1,MA_2,RealNVP,10,1.0,1.001,0.163
MA_1,MA_2,RealNVP,15,0.993,0.99,0.271
MA_1,MA_2,RealNVP,20,0.933,0.9,0.388
ConditionalAR_1,AR_1,MAF,10,1.001,0.985,0.818
ConditionalAR_1,AR_1,MAF,15,0.981,0.978,0.558
ConditionalAR_1,AR_1,MAF,20,0.996,1.004,0.444
ConditionalAR_1,AR_1,RealNVP,10,1.006,1.02,1.417
ConditionalAR_1,AR_1,RealNVP,15,0.982,1.004,0.83
ConditionalAR_1,AR_1,RealNVP,20,1.015,0.989,0.771
ConditionalAR_1,AR_2,MAF,10,1.004,1.008,0.916
ConditionalAR_1,AR_2,MAF,15,0.986,0.991,0.895
ConditionalAR_1,AR_2,MAF,20,1.005,1.047,1.578
ConditionalAR_1,AR_2,RealNVP,10,0.997,1.005,1.286
ConditionalAR_1,AR_2,RealNVP,15,0.981,0.925,0.979
ConditionalAR_1,AR_2,RealNVP,20,1.018,1.217,1.41
ConditionalAR_1,MA_1,MAF,10,0.997,1.001,0.652
ConditionalAR_1,MA_1,MAF,15,1.015,1.016,0.192
ConditionalAR_1,MA_1,MAF,20,0.984,1.032,0.906
ConditionalAR_1,MA_1,RealNVP,10,1.003,1.004,0.276
ConditionalAR_1,MA_1,RealNVP,15,0.982,0.978,0.357
ConditionalAR_1,MA_1,RealNVP,20,0.99,0.955,0.436
ConditionalAR_1,MA_2,MAF,10,0.996,1.0,0.912
ConditionalAR_1,MA_2,MAF,15,1.002,1.004,0.341
ConditionalAR_1,MA_2,MAF,20,0.999,0.958,1.527
ConditionalAR_1,MA_2,RealNVP,10,1.0,0.997,0.352
ConditionalAR_1,MA_2,RealNVP,15,1.004,0.955,1.273
ConditionalAR_1,MA_2,RealNVP,20,0.97,0.942,1.391
ConditionalMA_1,AR_1,MAF,10,1.0,1.002,0.604
ConditionalMA_1,AR_1,MAF,15,0.986,0.993,0.539
ConditionalMA_1,AR_1,MAF,20,1.02,0.999,0.861
ConditionalMA_1,AR_1,RealNVP,10,0.998,0.994,1.272
ConditionalMA_1,AR_1,RealNVP,15,1.011,0.997,0.92
ConditionalMA_1,AR_1,RealNVP,20,1.022,1.025,1.276
ConditionalMA_1,AR_2,MAF,10,0.999,1.0,0.493
ConditionalMA_1,AR_2,MAF,15,1.012,1.018,1.316
ConditionalMA_1,AR_2,MAF,20,0.902,0.891,1.599
ConditionalMA_1,AR_2,RealNVP,10,1.003,1.006,0.698
ConditionalMA_1,AR_2,RealNVP,15,1.003,0.995,0.915
ConditionalMA_1,AR_2,RealNVP,20,0.963,0.924,0.97
ConditionalMA_1,MA_1,MAF,10,0.995,0.999,0.749
ConditionalMA_1,MA_1,MAF,15,0.981,0.997,1.085
ConditionalMA_1,MA_1,MAF,20,1.007,0.993,0.748
ConditionalMA_1,MA_1,RealNVP,10,1.002,1.002,0.132
ConditionalMA_1,MA_1,RealNVP,15,0.995,0.971,0.562
ConditionalMA_1,MA_1,RealNVP,20,0.988,1.033,1.157
ConditionalMA_1,MA_2,MAF,10,0.999,1.005,0.517
ConditionalMA_1,MA_2,MAF,15,1.012,0.956,1.173
ConditionalMA_1,MA_2,MAF,20,1.028,1.04,1.148
ConditionalMA_1,MA_2,RealNVP,10,1.002,1.001,0.426
ConditionalMA_1,MA_2,RealNVP,15,1.002,0.923,1.008
ConditionalMA_1,MA_2,RealNVP,20,0.993,0.968,1.071
