base,target,flow,dim,flow_l2,target_l2,diff,diff/target,loss
ConditionalAR_1,AR_1,MAF,2,0.282223232860265373788288327552212780535664472697,0.2811783709832555577749157199202770237243225033009,0.035060613920099806840637086130978650073741268895576,0.124691717209598956298810633261729809123615613273,2.828523306122981
ConditionalAR_1,AR_1,MAF,3,0.14866183384454580587792854795704589120093193322317,0.14765632138980449680839306805307733257679819711471,0.052123464086286319861454215915068067709577835020776,0.35300530038726392467343920291565223752182280072537,4.235977087333799
ConditionalAR_1,AR_1,RealNVP,2,0.28239772921720610384670707523744907495811701753964,0.27724433111899729067093211647780322044610821713784,0.078415619809831611737297536198292710380088394216191,0.2828393983506717388517895193197561567468573047134,2.8276245400330517
ConditionalAR_1,AR_1,RealNVP,3,0.15179195657544903919902293137590913548800702272218,0.14896898859600979299368649716684411348439914316228,0.03655435427320811246743384473808799593183371828633,0.24538230820872498474406423224766909895845448625887,4.179645158676431
ConditionalAR_1,AR_2,MAF,3,0.14685033131313333697706441625391218087480289096948,0.14260767925858138800852795260310321188621522824741,0.06557565771720323134304753591663135570807524012092,0.45983258445920772192104005364493881290300651298827,4.220187202962115
ConditionalAR_1,AR_2,RealNVP,3,0.14859617738327322990042220038806932794506094277604,0.13634581143457679498950035809814742085171666522904,0.04005476886084547489639569668605208212011871714804,0.29377337256938817278320772656005937456394363685862,4.371188757631927
ConditionalAR_1,MA_1,MAF,2,0.28774012186557538016141013894402862060267141041434,0.26673436671683207499099766136019859675440440869246,0.03411746514124917055353693598870710124934644586456,0.12790802160663691163536848556958815940876169251152,2.8190145706015177
ConditionalAR_1,MA_1,MAF,3,0.15132330818402198911243601706702587147638173249759,0.14982781500417824117183104059730059778319480661455,0.0092192017649222767621136555032706425674219563339823,0.061531977654917955786058080726297363227869091490531,4.245650180460886
ConditionalAR_1,MA_1,RealNVP,2,0.28070541140924095855901954212548029454331576071336,0.28208909602067017369267808208843537836273995862087,0.0074413866582912021992720290119119013456524487697513,0.026379561504730874393785704677929763726309690192367,2.8088937284284623
ConditionalAR_1,MA_1,RealNVP,3,0.14938490792631987567573976943994190350170372544461,0.14256277058889541047387489789324664058740386793687,0.011848924178937521677212295235080272760686688657645,0.083113733901159645224854106854102039819273307035297,4.273369800017216
ConditionalAR_1,MA_2,MAF,3,0.14993213418909699217041063045839127364001854710561,0.14125530162051617205168171597765306480714905372883,0.019309837681262428147856016604366753152153004914083,0.13670168453668738524817690994539696371439250074781,4.237165155167691
ConditionalAR_1,MA_2,RealNVP,3,0.14398715143578013944589995147192167092192788895055,0.13671259457346454213553737986102335752932239036811,0.021443322106598395710368801989327369794917645838486,0.15684964632190860995772274147227113632967675269928,4.291836061507464
ConditionalAR_2,AR_1,MAF,3,0.15128867828803640438042352435158790350143169445342,0.14899070883336069905949475317526827131003701862116,0.032287855233489100823114261999578701357626001915113,0.21671052836993742862937960194728992574924184307041,4.2382253579907125
ConditionalAR_2,AR_1,RealNVP,3,0.14919744283389322991548968376816934712212307879794,0.14565460995727701143486778525609806290225668275609,0.066783490388192970160771509461483003793799642782058,0.45850584755114658054932418073236506310131720103142,4.264436604749877
ConditionalAR_2,AR_2,MAF,3,0.1467166181177052447285298328450039398727551755446,0.13613965624642219195664888726738740231688498600719,0.073027820852238744580559168196182634284706721883457,0.53641843137941628788966646679706800373127961443061,4.247347641641275
ConditionalAR_2,AR_2,RealNVP,3,0.14810741918956285838811459306287075469556614916699,0.12777402567601486973912183984369018496555346369037,0.083780561315180818527916891161561260639953218928896,0.65569321207438254511139320680208385568370020612637,4.302124405509094
ConditionalAR_2,MA_1,MAF,3,0.15115226317573687604151383879370920347753734189351,0.14981318860147765870723303896937668749052888817233,0.0099376093122151866821914999938379449260319538561656,0.066333340909327449181713596726955077129183029489002,4.210002126521431
ConditionalAR_2,MA_1,RealNVP,3,0.15486861357906540244259008276208426634592641629885,0.14508841242521427360340659174526541653965000369349,0.016725610741995000203379148443722190699106366117581,0.11527874943573598765526190289600202482823286273353,4.277382646303623
ConditionalAR_2,MA_2,MAF,3,0.14816542342684605911504404940625548322924360055755,0.1401567046614046604089482894835025315719488093739,0.013627408469788192501333671086206970684088551061938,0.09722980076272305280691481558777302006215542926219,4.228271998174487
ConditionalAR_2,MA_2,RealNVP,3,0.14754345203085580245677763949087586509620675090894,0.14268503489232291500858123142060589968723519475748,0.013228014094186876324068493397353440475017389393448,0.092707788901403575987989461384373753133527283265809,4.285427778612355
