,Unnamed: 0,base,target,flow,dim,flow_l2,target_l2,diff_l2,diff_l2/target_l2,diff_l1,loss
75,75,ConditionalAR_1,AR_1,RealNVP,3,0.152,0.149,0.0365543542732081,0.25,0.2,4.18
76,76,ConditionalAR_1,AR_2,MAF,3,0.147,0.143,0.0655756577172032,0.46,0.45,4.22
77,77,ConditionalAR_1,AR_2,RealNVP,3,0.149,0.136,0.0400547688608454,0.29,0.53,4.37
78,78,ConditionalAR_1,MA_1,MAF,2,0.288,0.267,0.0341174651412491,0.13,0.02,2.82
79,79,ConditionalAR_1,MA_1,MAF,3,0.151,0.15,0.0092192017649222,0.06,0.11,4.25
80,80,ConditionalAR_1,MA_1,RealNVP,2,0.281,0.282,0.0074413866582912,0.03,0.08,2.81
81,81,ConditionalAR_1,MA_1,RealNVP,3,0.149,0.143,0.0118489241789375,0.08,0.09,4.27
82,82,ConditionalAR_1,MA_2,MAF,3,0.15,0.141,0.0193098376812624,0.14,0.14,4.24
83,83,ConditionalAR_1,MA_2,RealNVP,3,0.144,0.137,0.0214433221065983,0.16,0.17,4.29
84,84,ConditionalAR_2,AR_1,MAF,3,0.151,0.149,0.0322878552334891,0.22,0.29,4.24
85,85,ConditionalAR_2,AR_1,RealNVP,3,0.149,0.146,0.0667834903881929,0.46,0.86,4.26
86,86,ConditionalAR_2,AR_2,MAF,3,0.147,0.136,0.0730278208522387,0.54,0.67,4.25
87,87,ConditionalAR_2,AR_2,RealNVP,3,0.148,0.128,0.0837805613151808,0.66,0.83,4.3
88,88,ConditionalAR_2,MA_1,MAF,3,0.151,0.15,0.0099376093122151,0.07,0.05,4.21
89,89,ConditionalAR_2,MA_1,RealNVP,3,0.155,0.145,0.016725610741995,0.12,0.08,4.28
90,90,ConditionalAR_2,MA_2,MAF,3,0.148,0.14,0.0136274084697881,0.1,0.16,4.23
91,91,ConditionalAR_2,MA_2,RealNVP,3,0.148,0.143,0.0132280140941868,0.09,0.25,4.29
