base,target,flow,dim,flow_l1,target_l1,diff_l1
MA_2,MA_1,RealNVP,10,0.997,0.997,0.146
MA_2,MA_1,RealNVP,15,0.993,0.99,0.3
MA_2,MA_1,RealNVP,20,1.014,1.023,0.341
MA_2,MA_2,MAF,10,1.005,1.004,0.132
MA_2,MA_2,MAF,15,1.04,1.03,0.481
MA_2,MA_2,MAF,20,1.018,1.016,0.382
MA_2,MA_2,RealNVP,10,0.994,0.995,0.329
MA_2,MA_2,RealNVP,15,0.993,0.993,0.274
MA_2,MA_2,RealNVP,20,1.038,1.035,0.321
AR_1,AR_1,MAF,10,0.998,0.997,0.185
AR_1,AR_1,MAF,15,1.005,0.987,1.127
AR_1,AR_1,MAF,20,1.016,1.028,1.449
AR_1,AR_1,RealNVP,10,1.003,1.004,1.429
AR_1,AR_1,RealNVP,15,0.99,0.987,0.285
AR_1,AR_1,RealNVP,20,1.0,1.0,0.479
AR_1,AR_2,MAF,10,0.999,0.998,0.792
AR_1,AR_2,MAF,15,1.0,0.882,1.749
AR_1,AR_2,MAF,20,1.087,0.954,1.848
AR_1,AR_2,RealNVP,10,1.003,0.998,1.178
AR_1,AR_2,RealNVP,15,1.009,1.083,1.943
AR_1,AR_2,RealNVP,20,0.927,1.046,1.735
AR_1,MA_1,MAF,10,0.997,0.997,0.16
AR_1,MA_1,MAF,15,0.998,0.999,0.217
AR_1,MA_1,MAF,20,0.998,1.063,0.587
AR_1,MA_1,RealNVP,10,1.0,0.997,0.168
AR_1,MA_1,RealNVP,15,0.954,0.967,0.263
AR_1,MA_1,RealNVP,20,1.002,0.99,0.28
AR_1,MA_2,MAF,10,0.999,0.999,0.124
AR_1,MA_2,MAF,15,1.021,1.045,0.326
AR_1,MA_2,MAF,20,0.978,1.072,0.684
AR_1,MA_2,RealNVP,10,1.001,1.001,0.174
AR_1,MA_2,RealNVP,15,0.98,0.973,0.236
AR_1,MA_2,RealNVP,20,0.913,0.981,0.467
MA_1,AR_1,MAF,10,1.007,1.007,0.841
MA_1,AR_1,MAF,15,0.999,0.994,0.396
MA_1,AR_1,MAF,20,0.954,0.966,0.412
MA_1,AR_1,RealNVP,10,1.0,1.0,0.178
MA_1,AR_1,RealNVP,15,0.999,0.999,0.723
MA_1,AR_1,RealNVP,20,0.973,1.015,1.475
MA_1,AR_2,MAF,10,1.004,1.006,1.541
MA_1,AR_2,MAF,15,0.994,0.991,0.84
MA_1,AR_2,MAF,20,0.948,0.981,1.466
MA_1,AR_2,RealNVP,10,0.996,1.0,1.385
MA_1,AR_2,RealNVP,15,0.966,1.026,1.812
MA_1,AR_2,RealNVP,20,0.966,1.838,2.648
MA_1,MA_1,MAF,10,0.993,0.994,0.155
MA_1,MA_1,MAF,15,1.002,1.005,0.18
MA_1,MA_1,MAF,20,0.992,1.011,0.414
MA_1,MA_1,RealNVP,10,1.0,1.0,0.135
MA_1,MA_1,RealNVP,15,0.994,0.992,0.177
MA_1,MA_1,RealNVP,20,0.912,0.908,0.207
MA_1,MA_2,MAF,10,0.993,0.995,0.427
MA_1,MA_2,MAF,15,0.99,0.995,0.329
MA_1,MA_2,MAF,20,1.009,1.015,0.462
MA_1,MA_2,RealNVP,10,0.991,0.991,0.189
MA_1,MA_2,RealNVP,15,0.977,1.002,0.347
MA_1,MA_2,RealNVP,20,1.063,1.136,0.35
ConditionalAR_1,AR_1,MAF,10,1.001,0.998,0.866
ConditionalAR_1,AR_1,MAF,15,1.003,1.003,0.644
ConditionalAR_1,AR_1,MAF,20,0.982,0.971,0.432
ConditionalAR_1,AR_1,RealNVP,10,0.994,0.996,0.991
ConditionalAR_1,AR_1,RealNVP,15,1.024,1.004,0.782
ConditionalAR_1,AR_1,RealNVP,20,1.034,0.943,1.794
ConditionalAR_1,AR_2,MAF,10,1.0,1.004,0.749
ConditionalAR_1,AR_2,MAF,15,0.971,0.95,1.54
ConditionalAR_1,AR_2,MAF,20,0.973,1.116,1.715
ConditionalAR_1,AR_2,RealNVP,10,1.001,0.999,0.522
ConditionalAR_1,AR_2,RealNVP,15,1.006,1.001,1.386
ConditionalAR_1,AR_2,RealNVP,20,0.958,0.892,0.964
ConditionalAR_1,MA_1,MAF,10,1.001,1.003,0.194
ConditionalAR_1,MA_1,MAF,15,1.011,1.023,0.868
ConditionalAR_1,MA_1,MAF,20,1.034,1.022,0.873
ConditionalAR_1,MA_1,RealNVP,10,1.0,1.001,0.368
ConditionalAR_1,MA_1,RealNVP,15,1.0,1.027,0.887
ConditionalAR_1,MA_1,RealNVP,20,1.002,0.828,1.186
ConditionalAR_1,MA_2,MAF,10,1.0,0.998,0.774
ConditionalAR_1,MA_2,MAF,15,0.994,0.991,0.621
ConditionalAR_1,MA_2,MAF,20,0.999,1.022,0.405
ConditionalAR_1,MA_2,RealNVP,10,1.004,1.006,0.474
ConditionalAR_1,MA_2,RealNVP,15,1.007,1.01,1.211
ConditionalAR_1,MA_2,RealNVP,20,0.985,0.986,0.329
ConditionalMA_1,AR_1,MAF,10,0.328,1.003,0.691
ConditionalMA_1,AR_1,MAF,15,1.006,1.004,0.777
ConditionalMA_1,AR_1,MAF,20,0.981,0.936,1.611
ConditionalMA_1,AR_1,RealNVP,10,0.998,0.997,0.404
ConditionalMA_1,AR_1,RealNVP,15,1.001,1.02,1.184
ConditionalMA_1,AR_1,RealNVP,20,1.015,1.0,0.946
ConditionalMA_1,AR_2,MAF,10,0.464,0.982,0.744
ConditionalMA_1,AR_2,MAF,15,26.462,0.993,25.479
ConditionalMA_1,AR_2,MAF,20,0.964,1.978,2.515
ConditionalMA_1,AR_2,RealNVP,10,1.0,1.004,1.071
ConditionalMA_1,AR_2,RealNVP,15,0.991,1.01,1.513
ConditionalMA_1,AR_2,RealNVP,20,2761.217,0.961,2760.8
ConditionalMA_1,MA_1,MAF,10,0.999,1.008,1.261
ConditionalMA_1,MA_1,MAF,15,0.998,1.003,0.196
ConditionalMA_1,MA_1,MAF,20,1.008,1.024,0.448
ConditionalMA_1,MA_1,RealNVP,10,0.167,1.003,0.856
ConditionalMA_1,MA_1,RealNVP,15,0.995,0.995,0.144
ConditionalMA_1,MA_1,RealNVP,20,17414.408,0.975,17413.861
ConditionalMA_1,MA_2,MAF,10,1.0,0.984,1.077
ConditionalMA_1,MA_2,MAF,15,0.997,0.937,1.041
ConditionalMA_1,MA_2,MAF,20,1.023,0.991,1.02
ConditionalMA_1,MA_2,RealNVP,10,0.995,0.994,0.329
ConditionalMA_1,MA_2,RealNVP,15,1.004,0.981,0.635
ConditionalMA_1,MA_2,RealNVP,20,1.017,1.136,1.285
